,Экология в целом,Климат,Энергия,Воздух,Вода,Отходы и циклическая экономика,Биоразнообразие,Рекультивация земель,Экологичность продукта,!Персонал в целом,Обучение и развитие,Сотрудники. Вовлеченность и мот,Оплата труда,Сотрудники. Здоровье и благопол,Сотрудники. Наем и увольнение,Сотрудники. Корпоративная культ,Сотрудники. Безопасность и охра,Сотрудники. Профсоюз и Коллекти,Потребители. Доступность,Потребители. Сервис и коммуника,Потребители. Персональные данны,Потребители. Здоровье и благопо,"Потребители. Маркетинг, продажи",Потребители. Удовлетворенность,Потребители. Качество и безопас,Потребители. Ценовая политика,Поставщики в целом,Малый и локальный бизнес,Поставщики. Работники,Поставщики. Экология,Закупки и антикоррупция,Заинтересованные стороны,Коренные народы и местные сообщ,Сотрудники. Волонтерство,Социальные инвестиции и благотв,Отчетность и прозрачность,Отношения с инвесторами,!Инновации,!Кибербезопасность,Права человека,Лидерство,Риски,Этика и антикоррупция,Корпоративное управление,Устойчивое развитие
портфель,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
привилегированный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
рейтинг,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
система,-104.0,-104.0,-104.0,-104.0,-68.0,-76.0,-104.0,-104.0,-100.0,-104.0,-92.0,-104.0,-104.0,-104.0,-104.0,-96.0,-104.0,-104.0,-104.0,-104.0,-104.0,-96.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-100.0,-104.0,-104.0,-68.0,-103.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-104.0,-67.0,-83.0,-88.0
требование,-62.0,-62.0,-62.0,-62.0,-57.0,-58.0,-62.0,-62.0,-46.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-46.0,-62.0,-62.0,-62.0,-62.0,-62.0,-61.0,-62.0,-61.0,-62.0,-62.0,-62.0,-50.0,-61.0,-58.0,-61.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-41.0,-33.0,-49.0,-54.0
управление,-124.0,-124.0,-124.0,-120.0,-124.0,-115.0,-124.0,-124.0,-104.0,-124.0,-104.0,-124.0,-124.0,-124.0,-124.0,-116.0,-124.0,-120.0,-124.0,-124.0,-124.0,-120.0,-124.0,-124.0,-124.0,-124.0,-124.0,-124.0,-124.0,-104.0,-124.0,-48.0,-124.0,-124.0,-124.0,-124.0,-124.0,-124.0,-124.0,-123.0,-124.0,-116.0,-87.0,-100.0,-108.0
цель,-94.0,-94.0,-94.0,-90.0,-82.0,-82.0,-94.0,-94.0,-85.0,-94.0,-90.0,-90.0,-94.0,-94.0,-94.0,-82.0,-94.0,-82.0,-94.0,-94.0,-94.0,-86.0,-94.0,-94.0,-94.0,-94.0,-94.0,-94.0,-90.0,-86.0,-94.0,-70.0,-94.0,-94.0,-94.0,-94.0,-94.0,-94.0,-94.0,-94.0,-94.0,-90.0,-57.0,-74.0,-78.0
экология,-6.0,-6.0,-6.0,-2.0,-6.0,-2.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.0,-6.0,-6.0,-6.0,-5.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-1.0,-6.0,-6.0
ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
