,Биоразнообразие,Вода,Воздух,Климат,Корпоративное управление,Отношения с инвесторами,Отчетность и прозрачность,Потребители. Доступность,Потребители. Ценовая политика,Права человека,Риски,Экология в целом,Энергия,Этика и антикоррупция,Экологичность продукта
0,0.003725610978432517,0.005249724560518547,0.002370843349911602,0.002032151442781373,0.010817212344844406,0.0028466348275906334,0.0045723407462580894,0.002058198518315555,0.0013803741902722931,0.005448647775266523,0.04132041266988792,0.006274200468488723,0.01465934490753889,0.0023115475410221613,0.0
1,0.005102939498793522,0.013004265174344783,0.0026337752251837532,0.005596772353515476,0.0005534082839164686,0.0,0.001975331418887815,0.00466818381045584,0.00044725940046651605,0.00826543899580839,0.026008530348689565,0.00818519201526656,0.010426435542789818,0.002728397338422187,0.0
5,0.0035100359873065,0.00711493781210777,0.0018973167498954053,0.005881681924675757,0.004465034419617991,0.0038271723596725636,0.0023716459373692564,0.0,0.0012887853814390606,0.0075381959806800234,0.03661821327298132,0.0076769357840054215,0.008612598130511752,0.002127343650989454,0.0018444645962609604
4,0.005784157850053286,0.004557215275799559,0.0017527751060767535,0.004557215275799559,0.0,0.001178536730722287,0.002453885148507455,0.0,0.0,0.017174821362619688,0.022786076378997794,0.008202899755281046,0.0066612323747981175,0.0012817030867626634,0.0
3,0.007952367831078078,0.004655044584045704,0.0019396019100190432,0.0050429649660495126,0.003260389889740435,0.001304155955896174,0.0025214824830247563,0.0015715701864657534,0.000527003324580701,0.007469811956172736,0.02948194903228946,0.008888130682028319,0.010237843685426695,0.003971292432395632,0.0
7,0.0029556214848803423,0.00509589911186266,0.0019364416625078102,0.0038728833250156205,0.008565993804002366,0.004111677025921135,0.0020383596447450638,0.000825794517531903,0.0005538364877467245,0.007204250310150354,0.03964609509029149,0.0087444693419756,0.004949194658193238,0.0025835932146746096,0.0
812,0.006490053626562012,0.003757399468009587,0.00204949061891432,0.0034158176981905334,0.0011483694082635252,0.0011483694082635252,0.0061484718567429595,0.0,0.000928101418032907,0.014154143189084383,0.025277050966609944,0.0021647513112717292,0.010096680243484292,0.006494253933815188,0.006641331566741683
505,0.006255216159811414,0.00938282423971712,0.0,0.012510432319622828,0.010514757394412903,0.010514757394412903,0.0,0.0,0.0,0.009148155781768509,0.003127608079905707,0.01982100419383177,0.0,0.0015246926302947515,0.0
1420,0.005019859990318878,0.0056473424891087375,0.002509929995159439,0.004392377491529018,0.005273859508169481,0.0,0.0006274824987898597,0.001271050495636879,0.0,0.010706305617116751,0.029805418692518338,0.010553358394015082,0.00331205475967409,0.0024471555696266856,0.0
1421,0.0,0.0,0.010008345855698264,0.0,0.0,0.0,0.010008345855698264,0.0,0.0,0.014637049250829613,0.0,0.014637049250829613,0.0,0.009758032833886411,0.0
1422,0.004048319671967836,0.0029237864297545486,0.0031486930781972062,0.0069721061017223845,0.001512234771331294,0.004536704313993882,0.0011245332422132879,0.054669452778628905,0.0024443480043473418,0.009429110378811587,0.02428991803180702,0.007894138921795748,0.005698222750576368,0.0015349714570158399,0.0
1423,0.0019884130839135624,0.00795365233565425,0.0008837391484060276,0.005523369677537672,0.0007427643192521256,0.0,0.0011046739355075345,0.00358026585525973,0.002401180710672333,0.00926259187322551,0.03733797902015467,0.008616364533233034,0.00513112589478869,0.0020463865766428453,0.0
6,0.003556265024867403,0.003556265024867403,0.0015241135820860299,0.011176832935297552,0.0,0.00170798089655438,0.002032151442781373,0.012349191109893331,0.0027607483805445862,0.004953316159333203,0.029974233781025254,0.012383290398333007,0.006435809959407319,0.0024766580796666015,0.0
1425,0.003184473681358538,0.006141484956905752,0.0020471616523019174,0.004094323304603835,0.0,0.0015294192573691494,0.0009098496232452965,0.0018430232186734744,0.0018540935146611937,0.013195521673096395,0.027068026291547573,0.00997980630738383,0.005282727341680175,0.0024395082084716028,0.0
319,0.008515873228094136,0.005179757942861382,0.0019314351651347525,0.005443135465379757,0.0011806043390217996,0.0011806043390217996,0.003248322777726629,0.0007113422949266042,0.0004770766938309505,0.010228815119731807,0.026337752251837532,0.01044280706784335,0.005190047914633154,0.0017119355848923526,0.0
1120,0.004296110303717855,0.00684195344666177,0.0031823039286798926,0.009387796589605684,0.0021397280548248834,0.0010698640274124417,0.0011138063750379624,0.004512330296911209,0.0017293082065732387,0.010316521199577842,0.02307170348292922,0.011402470799533404,0.006047001090635494,0.0010083817713873078,0.0
1426,0.0030767066825835524,0.008868154555682005,0.002895723936549226,0.008144223571544698,0.0006084488908159365,0.0,0.0018098274603432663,0.0014664199208251876,0.0004917427043103829,0.006881795307804159,0.020813015793947565,0.015792837949960826,0.009934966429199605,0.0012351940296058746,0.0
1427,0.004549248116226483,0.0057534608528746695,0.001739418397380714,0.0037464396251276916,0.013494875800316025,0.00719726709350188,0.0033450353795782964,0.0,0.0007270954959455662,0.007435934111384029,0.036795389175361265,0.007305479126973782,0.004519980613202287,0.0025438721959997993,0.0026014841564910604
2,0.0010109440258281074,0.003032832077484322,0.002021888051656215,0.002021888051656215,0.0,0.006797418921640665,0.0010109440258281074,0.004095607152607722,0.0027468052069054725,0.020206027585320342,0.017186048439077825,0.010349428763212858,0.0,0.0034498095877376193,0.0
1428,0.002455149777011118,0.007509869906151655,0.0005776823004732042,0.0033216732277209244,0.0038842393837946656,0.0009710598459486664,0.0018774674765379138,0.0005850867360868173,0.0015696029753745557,0.012320748527634356,0.03191694710114453,0.008589321830693665,0.0076229831770276675,0.0018305112098199615,0.0
